Timestamp,Seconds,S,Um,Vm,Wm,T,P,H,MD,Sts,Vx,Vy,Vz,Lat,Lon,Alt,Yaw,Roll,Pitch,nan,CH4,C2H6,H20,T_a,Batt,R,C2C1,Power,Current,SOC,Lat_a,Lon_a,TS,Timestamp_UTC,Rho,Rho_err,Sc,V,U,W,WD,V_err,U_err,Sc_avg,WD_avg,V_avg,U_avg,W_avg,U_err_avg,V_err_avg,Nx,Ny,cross_wind,cross_wind_err,CH4_sub,CH4_res,CH4_adj,CH4_adj_err,BG_Samples_CH4,C2H6_sub,C2H6_res,C2H6_adj,C2H6_adj_err,BG_Samples_C2H6
2023-06-06 10:51:43.400000-07:00,370.862465,6.95,-0.3,6.92,-0.57,20.25,860.57,57.41,42.0,2.0,-1.56918,-0.460046,-0.134013,34.0618757,-106.88467,1423.08901,-8.89416858,3.06757816,-3.53049707,,,,,,,,,,,,,,,2023-06-06 17:51:43.400000+00:00,1.0217883397052674,0.013765565314311697,6.977856858571981,6.330362248233503,-2.935472729367468,-0.704013,155.12222124920214,0.3712985906043513,0.3815154661678747,,,,,,,,0.28133459551696416,-0.9596097359683812,,,,,,,,,,,,
2023-06-06 10:51:43.600000-07:00,371.062465,7.09,-0.34,7.06,-0.58,20.23,860.56,57.39,83.0,2.0,-1.56074,-0.437418,-0.169462,34.0618752,-106.884673,1423.00479,-8.86403068,2.50252195,-3.15671344,,,,,,,,,,,,,,,2023-06-06 17:51:43.600000+00:00,1.0218461218107684,0.013766703040731824,7.139615694902718,6.485872332549159,-2.984555638076553,-0.749462,155.28988273136838,0.37595956311506235,0.38749179146874113,,,,,,,,0.2698649350771377,-0.9628981861109783,,,,,,,,,,,,
2023-06-06 10:51:43.800000-07:00,371.262465,7.5,-0.17,7.47,-0.64,20.23,860.56,57.37,37.0,2.0,-1.49052,-0.439596,-0.23061,34.0618746,-106.884676,1422.9387499999998,-8.81015871,1.92565825,-1.5525762,,,,,,,,,,,,,,,2023-06-06 17:51:43.800000+00:00,1.0218461218107684,0.013766703040731824,7.462503295695105,6.9162298923889916,-2.802627252041423,-0.87061,157.94099270125395,0.38972058576928603,0.4070161191502558,,,,,,,,0.2828815673330878,-0.9591548461344371,,,,,,,,,,,,
2023-06-06 10:51:44-07:00,371.462465,7.19,-0.21,7.17,-0.58,20.24,860.57,57.32,30.0,2.0,-1.51197,-0.316484,-0.0624147,34.0618741,-106.884679,1422.9022499999999,-8.89704121,1.67839668,-1.18838465,,1.91634,1.4641,14756.8,30.031,11852.0,-0.69252,-1.0,15.0,-1256.0,92.0,,0.0,,2023-06-06 17:51:44+00:00,1.02182316667073,0.013766154631854982,7.304564054611958,6.734767044581755,-2.8283509123064308,-0.6424147,157.21941125183787,0.37943394544705655,0.3931621479564238,7.273290562787224,156.5616481622622,6.672906363887567,-2.8911995444766747,-0.60453712,0.39018687091753734,0.3777460212013582,0.2048787598085508,-0.9787873588166687,-7.123701772571881,0.36226044465635876,1.936914502879535,,-0.020574502879534995,0.005099019513592785,False,0.49527010173878194,,0.968829898261218,0.7071067811865476,False
2023-06-06 10:51:44.200000-07:00,371.662465,6.96,-0.32,6.93,-0.58,20.24,860.57,57.38,33.0,2.0,-1.47059,-0.235226,0.0105549,34.0618738,-106.884682,1422.91543,-8.9705811,2.51567783,-2.68311388,,,,,,,,,,,,,,,2023-06-06 17:51:44.200000+00:00,1.02182316667073,0.013766154631854982,7.1593449551557145,6.560113192744105,-2.8672521837638065,-0.5694450999999999,156.3911322084475,0.3713487042923151,0.38160186019131515,,,,,,,,0.1579457192390787,-0.9874477959740707,,,,,,,,,,,,
2023-06-06 10:51:44.400000-07:00,371.862465,6.97,-0.47,6.95,-0.24,20.2,860.58,57.49,75.0,2.0,-1.43423,-0.126193,0.0492462,34.0618736,-106.884685,1422.90493,-8.89496858,3.19538415,-3.65764675,,,,,,,,,,,,,,,2023-06-06 17:51:44.400000+00:00,1.0219743736908389,0.013768553388123857,7.3004248135706264,6.667549357173824,-2.9732117361951613,-0.1907538,155.96682191840335,0.37226730738307096,0.3816624358209508,,,,,,,,0.08764796975465067,-0.9961515112661767,,,,,,,,,,,,
2023-06-06 10:51:44.600000-07:00,372.062465,6.7,-0.44,6.68,-0.26,20.23,860.6,57.29,71.0,2.0,-1.437,-0.0726359,-0.0285932,34.0618737,-106.884688,1422.89395,-8.88330437,2.56415064,-4.54344435,,,,,,,,,,,,,,,2023-06-06 17:51:44.600000+00:00,1.0218936186092165,0.013766866883163515,7.081764197336542,6.459290970911333,-2.903264421264624,-0.2885932,155.79746173396256,0.3636225737089098,0.37008047375631564,,,,,,,,0.050482453344307024,-0.9987249480734622,,,,,,,,,,,,
2023-06-06 10:51:44.800000-07:00,372.262465,6.48,-0.4,6.45,-0.5,20.43,860.6,56.59,43.0,2.0,-1.43093,-0.0559894,-0.00668233,34.0618738,-106.884692,1422.8616,-8.86752279,2.66241895,-4.28582885,,,,,,,,,,,,,,,2023-06-06 17:51:44.800000+00:00,1.0211974583676406,0.013755089034916339,6.861704743643375,6.255256203353312,-2.8204187312078144,-0.50668233,155.7299673619454,0.3563831375550101,0.36040938428154573,,,,,,,,0.039098061609646906,-0.9992353784661391,,,,,,,,,,,,
2023-06-06 10:51:45-07:00,372.462465,6.89,-0.42,6.87,-0.31,20.48,860.6,56.51,26.0,2.0,-1.35447,-0.052159,-0.0111449,34.0618737,-106.884695,1422.77688,-8.95405936,2.96159588,-4.24513585,,1.91484,1.00201,14762.2,30.0318,11868.0,-0.687956,-1.0,14.0,-1270.0,92.0,,0.0,,2023-06-06 17:51:45+00:00,1.02102356648698,0.013752147780288888,7.247755425869688,6.668749595608696,-2.838615427332901,-0.3211449,156.9425186935739,0.369473002583296,0.37832112379799393,6.959231376949852,156.41664389131478,6.377604269199905,-2.783421302395567,-0.47145832600000004,0.3656232497789877,0.35956030015409834,0.03848026827381575,-0.9992593602031332,-6.4799875601047034,0.359028296243833,1.936986678052946,,-0.02214667805294601,0.005099019513592785,False,0.5018459483594648,0.5001640516405352,0.5001640516405352,0.7071067811865476,True
2023-06-06 10:51:45.200000-07:00,372.662465,6.61,-0.25,6.57,-0.67,20.13,860.6,57.66,36.0,2.0,-1.30867,-0.0726122,-0.108464,34.0618736,-106.884698,1422.67642,-9.19202709,2.89166395,-4.24795849,,,,,,,,,,,,,,,2023-06-06 17:51:45.200000+00:00,1.0222420547857745,0.013772763516730395,6.884917749167319,6.373083212643964,-2.6049765406841727,-0.778464,157.76787421951985,0.35915699730396955,0.3657213085782103,,,,,,,,0.055400279683429206,-0.998464225203386,,,,,,,,,,,,
2023-06-06 10:51:45.400000-07:00,372.862465,6.43,-0.28,6.41,-0.4,20.13,860.62,57.73,47.0,2.0,-1.26218,-0.109624,-0.0624072,34.0618731,-106.8847,1422.57961,-10.9055187,2.35956622,-2.98959937,,,,,,,,,,,,,,,2023-06-06 17:51:45.400000+00:00,1.022265811282516,0.013772845516739482,6.7200147687323355,6.131641363482221,-2.7498313914883203,-0.4624072,155.84539744757217,0.3491657896193063,0.3535839584808729,,,,,,,,0.08652716276572618,-0.9962494918963389,,,,,,,,,,,,
2023-06-06 10:51:45.600000-07:00,373.062465,6.59,-0.58,6.55,-0.51,20.12,860.61,57.7,282.0,2.0,-1.22079,-0.126623,0.025592,34.0618725,-106.884703,1422.54019,-11.0184971,2.93290434,-2.36229656,,,,,,,,,,,,,,,2023-06-06 17:51:45.600000+00:00,1.0222887901260072,0.013773394466807372,6.8986748543277,6.191778221513706,-3.041972583920158,-0.484408,153.83547176240657,0.3528758382805061,0.35678744115296507,,,,,,,,0.10316870507315812,-0.9946638720158322,,,,,,,,,,,,
2023-06-06 10:51:45.800000-07:00,373.262465,6.56,-0.31,6.52,-0.62,20.35,860.63,56.95,24.0,2.0,-1.24398,-0.112293,0.0767126,34.061872,-106.884706,1422.53359,-10.928468,2.72108395,-3.12783082,,,,,,,,,,,,,,,2023-06-06 17:51:45.800000+00:00,1.0215114166460593,0.013759920457252023,6.82456269357059,6.230693608341486,-2.784441257675947,-0.5432874,155.9205593379923,0.3522812620252915,0.3580392233825487,,,,,,,,0.08990358885748592,-0.9959504730208948,,,,,,,,,,,,
2023-06-06 10:51:46-07:00,373.462465,6.39,-0.53,6.36,-0.2,20.14,860.63,57.69,35.0,2.0,-1.22969,-0.128947,0.127453,34.0618716,-106.884709,1422.59573,-10.8935316,3.0069525,-3.87059471,,1.91837,0.755708,14778.1,30.0319,11897.0,-0.67556,-1.0,14.0,-1284.0,92.0,,0.0,,2023-06-06 17:51:46+00:00,1.0222428340059957,0.013772296610840083,6.701526800244644,6.016284316289273,-2.952081380986801,-0.072547,153.8636523271751,0.34776044512254695,0.3493756466710469,6.756288945260804,155.29422213010952,6.1361100751100635,-2.8240602985229186,-0.37987267999999996,0.35611524781881354,0.35164142133936516,0.10428957599978178,-0.9945469744249317,-6.397169761069826,0.3478384233003841,1.9370587556727268,,-0.018688755672726876,0.005099019513592785,False,0.50839651240787,0.24731148759213006,0.24731148759213006,0.7071067811865476,True
2023-06-06 10:51:46.200000-07:00,373.662465,6.5,-0.34,6.47,-0.61,20.07,860.63,57.95,74.0,2.0,-1.15347,-0.180113,0.100012,34.0618712,-106.884712,1422.64248,-10.8295058,3.40272501,-4.77921015,,,,,,,,,,,,,,,2023-06-06 17:51:46.200000+00:00,1.0224868726062972,0.013776427037332402,6.6819208798731315,6.110778709810328,-2.703044617577252,-0.509988,156.13825495072413,0.35112714181615545,0.35591433963986524,,,,,,,,0.15427931061533362,-0.988027274074991,,,,,,,,,,,,
2023-06-06 10:51:46.400000-07:00,373.862465,6.59,-0.33,6.57,-0.41,20.09,860.63,57.81,30.0,2.0,-1.08447,-0.261009,0.120867,34.0618709,-106.884714,1422.69814,-10.7914093,3.23882031,-4.91867508,,,,,,,,,,,,,,,2023-06-06 17:51:46.400000+00:00,1.022417135403146,0.013775246657946428,6.674759498287958,6.131015519595531,-2.6387616524544355,-0.289133,156.71317227224944,0.3541624194523259,0.36045958824764207,,,,,,,,0.23399696839717224,-0.9722373263668356,,,,,,,,,,,,
2023-06-06 10:51:46.600000-07:00,374.062465,6.12,0.02,6.12,-0.23,20.15,860.64,57.57,50.0,2.0,-1.07546,-0.326785,0.155073,34.0618704,-106.884717,1422.75112,-10.9142163,2.72182402,-4.60803415,,,,,,,,,,,,,,,2023-06-06 17:51:46.600000+00:00,1.022219858296286,0.013771747749103858,6.102325699743167,5.686301776548172,-2.214576946455245,-0.07492700000000002,158.72116510117576,0.3408703627749722,0.3435402301026355,,,,,,,,0.29073091965265424,-0.9568048559439495,,,,,,,,,,,,
2023-06-06 10:51:46.800000-07:00,374.262465,5.83,0.31,5.82,-0.07,20.31,860.63,57.02,79.0,2.0,-1.03562,-0.382099,0.101249,34.06187,-106.884719,1422.79873,-10.8586112,2.32055389,-4.46863043,,,,,,,,,,,,,,,2023-06-06 17:51:46.800000+00:00,1.0216506535324013,0.013762276072393961,5.693392272450899,5.392093888623482,-1.827577375728018,0.031249,161.27660498079524,0.3326377415743858,0.3332449815620746,,,,,,,,0.34614784485128774,-0.9381799771391461,,,,,,,,,,,,
